id,orden,disposicion,galeria,area,perimetro,zona,calle,numeracion,par,tipo_calle,esquina,distancia_esquina,distancia_principal,distancia_ transporte1,distancia_ transporte2,rubro_id_ Nov19,rubro_id_ Feb20,clase
1,1,1,0,82,42,1,Santa Fe,1701,0,1,1,36,307,310,542,94,94,0
2,2,1,0,79,42,1,Santa Fe,1717,0,1,0,39,302,305,540,92,92,0
3,3,1,0,217,63,1,Santa Fe,1729,0,1,0,48,292,295,537,72,72,0
4,4,1,0,248,71,1,Santa Fe,1741,0,1,0,58,282,285,535,14,14,0
5,5,1,0,239,66,1,Santa Fe,,0,1,0,57,272,275,528,72,72,0
6,6,1,0,216,65,1,Santa Fe,1773,0,1,0,46,255,258,522,67,67,0
7,7,1,0,333,79,1,Santa Fe,,0,1,1,44,244,247,519,100,100,1
8,8,1,0,197,72,1,Santa Fe,1801,0,1,1,47,210,214,508,32,32,0
9,9,1,0,124,66,1,Santa Fe,1811,0,1,0,49,205,208,506,37,37,0
10,10,1,0,124,66,1,Santa Fe,1813,0,1,0,52,200,204,504,37,37,0
11,11,1,0,124,66,1,Santa Fe,1815,0,1,0,54,196,200,503,2,2,0
12,12,1,0,293,77,1,Santa Fe,1829,0,1,0,59,189,193,500,72,72,0
13,13,1,0,124,66,1,Santa Fe,1845,0,1,0,65,181,186,499,100,100,1
14,14,1,0,299,77,1,Santa Fe,,0,1,0,47,146,151,490,100,100,1
15,15,1,0,173,58,1,Santa Fe,1895,0,1,0,39,136,141,485,74,74,0
16,16,1,0,141,48,1,Santa Fe,,0,1,1,34,127,131,480,100,100,1
17,17,1,0,127,63,1,Santa Fe,1901,0,1,1,47,100,108,485,32,32,0
18,18,1,0,125,64,1,Santa Fe,1909,0,1,0,49,96,103,485,91,91,0
19,19,1,0,111,62,1,Santa Fe,1921,0,1,0,53,90,98,484,5,5,0
20,20,1,0,111,62,1,Santa Fe,,0,1,0,56,86,94,484,53,53,0
21,21,1,0,174,62,1,Santa Fe,1927,0,1,0,59,80,89,483,35,35,0
22,22,1,0,19,18,1,Santa Fe,,0,1,0,47,81,85,467,54,54,0
23,23,1,0,106,46,1,Santa Fe,1935,0,1,0,63,71,80,479,2,2,0
24,24,1,0,127,63,1,Santa Fe,1939,0,1,0,71,66,77,484,49,49,0
25,25,1,0,125,63,1,Santa Fe,1945,0,1,0,73,61,73,485,2,2,0
26,26,1,0,75,43,1,Santa Fe,1951,0,1,0,67,57,67,480,23,23,0
27,27,1,0,155,51,1,Santa Fe,1961,0,1,0,61,49,62,480,72,72,0
28,28,1,1,95,42,1,Santa Fe,1985,0,1,0,55,41,55,479,100,100,1
29,29,1,1,88,40,1,Santa Fe,1989,0,1,0,50,34,50,480,21,21,0
30,30,1,1,204,76,1,Santa Fe,,0,1,0,53,28,53,489,53,53,0
31,31,1,1,83,38,2,Santa Fe,1999,0,1,1,39,19,39,478,43,43,0
32,32,1,1,52,33,2,Yrigoyen,9,0,1,0,43,18,44,483,23,23,0
33,33,1,1,51,33,2,Yrigoyen,15,0,1,0,49,18,49,489,25,25,0
34,34,1,1,52,33,2,Yrigoyen,21,0,1,0,53,18,53,493,29,29,0
35,35,1,1,52,33,2,Yrigoyen,25,0,1,0,56,18,57,498,17,17,0
36,36,1,1,52,33,2,Yrigoyen,29,0,1,0,60,18,61,502,14,14,0
37,37,1,0,97,48,2,Yrigoyen,37,0,1,0,66,21,66,507,80,80,0
38,38,1,0,97,48,2,Yrigoyen,39,0,1,0,71,21,71,512,15,15,0
39,39,1,0,96,48,2,Yrigoyen,41,0,1,0,75,21,76,517,79,79,0
40,40,1,0,97,48,2,Yrigoyen,45,0,1,0,80,21,81,522,53,53,0
41,41,1,0,96,48,2,Yrigoyen,,0,1,0,85,21,85,527,49,49,0
42,42,1,0,97,48,2,Yrigoyen,47,0,1,0,90,21,90,532,76,76,0
43,43,1,0,97,48,2,Yrigoyen,49,0,1,0,95,21,95,537,100,100,1
44,44,1,0,97,48,2,Yrigoyen,53,0,1,0,87,20,107,549,83,83,0
45,45,1,0,97,48,2,Yrigoyen,55,0,1,0,82,20,112,555,100,100,1
46,46,1,0,97,48,2,Yrigoyen,61,0,1,0,73,20,122,564,13,13,0
47,47,1,0,"1,351",159,2,Yrigoyen,65,0,1,0,68,36,139,579,35,35,0
48,48,1,0,100,49,2,Yrigoyen,,0,1,0,47,20,149,592,78,78,0
49,49,1,0,97,48,2,Yrigoyen,,0,1,0,43,20,154,597,39,39,0
50,50,1,0,100,49,2,Yrigoyen,,0,1,0,39,20,159,602,13,13,0
51,51,1,0,47,29,2,Yrigoyen,,0,1,0,34,22,166,610,100,100,1
52,52,1,0,45,29,2,Yrigoyen,93,0,1,0,31,22,171,614,99,13,0
53,53,1,0,45,29,2,Yrigoyen,99,0,1,1,29,21,176,619,100,11,1
54,54,1,0,15,16,2,Yrigoyen,,0,1,0,26,12,168,611,54,54,0
55,55,1,0,19,18,2,Tres Sargentos,1975,0,2,0,41,33,210,652,79,79,0
56,56,1,0,19,18,2,Tres Sargentos,1991,0,2,0,37,28,209,652,83,83,0
57,57,1,0,19,18,2,Tres Sargentos,1995,0,2,0,32,23,209,652,91,91,0
58,58,1,0,19,18,2,Yrigoyen,,0,1,1,29,18,208,652,18,18,0
59,59,1,0,19,17,2,Yrigoyen,103,0,1,0,31,18,212,656,46,46,0
60,60,1,0,19,18,2,Yrigoyen,115,0,1,0,37,18,219,663,23,23,0
61,61,1,0,19,18,2,Yrigoyen,119,0,1,0,40,18,223,667,28,28,0
62,62,1,0,19,18,2,Yrigoyen,123,0,1,0,44,18,227,671,9,9,0
63,63,1,0,299,74,2,Yrigoyen,145,0,1,0,64,22,248,691,56,56,0
64,64,1,0,16,16,2,Yrigoyen,153,0,1,0,71,18,266,710,100,100,1
65,65,1,0,29,22,2,Yrigoyen,169,0,1,0,49,19,290,734,10,10,0
66,66,1,0,29,22,2,Yrigoyen,175,0,1,0,46,19,294,738,100,100,1
